id	title	imdbID	spanishTitle	imdbPictureURL	year	rtID	rtAllCriticsRating	rtAllCriticsNumReviews	rtAllCriticsNumFresh	rtAllCriticsNumRotten	rtAllCriticsScore	rtTopCriticsRating	rtTopCriticsNumReviews	rtTopCriticsNumFresh	rtTopCriticsNumRotten	rtTopCriticsScore	rtAudienceRating	rtAudienceNumRatings	rtAudienceScore	rtPictureURL
1	Toy story	0114709	Toy story (juguetes)	http://ia.media-imdb.com/images/M/MV5BMTMwNDU0NTY2Nl5BMl5BanBnXkFtZTcwOTUxOTM5Mw@@._V1._SX214_CR0,0,214,314_.jpg	1995	toy_story	9	73	73	0	100	8.5	17	17	0	100	3.7	102338	81	http://content7.flixster.com/movie/10/93/63/10936393_det.jpg
2	Jumanji	0113497	Jumanji	http://ia.media-imdb.com/images/M/MV5BMzM5NjE1OTMxNV5BMl5BanBnXkFtZTcwNDY2MzEzMQ@@._V1._SY314_CR3,0,214,314_.jpg	1995	1068044-jumanji	5.6	28	13	15	46	5.8	5	2	3	40	3.2	44587	61	http://content8.flixster.com/movie/56/79/73/5679734_det.jpg
3	Grumpy Old Men	0107050	Dos viejos gruñones	http://ia.media-imdb.com/images/M/MV5BMTI5MTgyMzE0OF5BMl5BanBnXkFtZTYwNzAyNjg5._V1._SX214_CR0,0,214,314_.jpg	1993	grumpy_old_men	5.9	36	24	12	66	7	6	5	1	83	3.2	10489	66	http://content6.flixster.com/movie/25/60/256020_det.jpg
4	Waiting to Exhale	0114885	Esperando un respiro	http://ia.media-imdb.com/images/M/MV5BMTczMTMyMTgyM15BMl5BanBnXkFtZTcwOTc4OTQyMQ@@._V1._SY314_CR4,0,214,314_.jpg	1995	waiting_to_exhale	5.6	25	14	11	56	5.5	11	5	6	45	3.3	5666	79	http://content9.flixster.com/movie/10/94/17/10941715_det.jpg
5	Father of the Bride Part II	0113041	Vuelve el padre de la novia (Ahora también abuelo)	http://ia.media-imdb.com/images/M/MV5BMTg1NDc2MjExOF5BMl5BanBnXkFtZTcwNjU1NDAzMQ@@._V1._SY314_CR5,0,214,314_.jpg	1995	father_of_the_bride_part_ii	5.3	19	9	10	47	5.4	5	1	4	20	3	13761	64	http://content8.flixster.com/movie/25/54/255426_det.jpg
6	Heat	0113277	Heat	http://ia.media-imdb.com/images/M/MV5BMTM1NDc4ODkxNV5BMl5BanBnXkFtZTcwNTI4ODE3MQ@@._V1._SY314_CR1,0,214,314_.jpg	1995	1068182-heat	7.7	58	50	8	86	7.2	17	14	3	82	3.9	42785	92	http://content9.flixster.com/movie/26/80/268099_det.jpg
7	Sabrina	0047437	Sabrina	http://ia.media-imdb.com/images/M/MV5BMTYyNDM1NTQ5Nl5BMl5BanBnXkFtZTcwMTA5NjEwMg@@._V1._SY314_CR50,0,214,314_.jpg	1954	1018047-sabrina	7.4	31	28	3	90	7.2	5	5	0	100	3.8	12812	87	http://content7.flixster.com/movie/10/93/36/10933669_det.jpg
8	Tom and Huck	0112302	Tom y Huck	http://ia.media-imdb.com/images/M/MV5BMTUxNDYzMDY1OV5BMl5BanBnXkFtZTcwNDA2MzYxMQ@@._V1._SY314_CR2,0,214,314_.jpg	1995	tom_and_huck	4.2	8	2	6	25	0	2	1	1	50	2.7	2649	45	http://content9.flixster.com/movie/26/16/261691_det.jpg
9	Sudden Death	0114576	Sudden Death: muerte súbita	http://ia.media-imdb.com/images/M/MV5BMTcwMTU2OTMxNV5BMl5BanBnXkFtZTcwMzg3MTYyMQ@@._V1._SY314_CR0,0,214,314_.jpg	1995	1068470-sudden_death	5.2	32	17	15	53	5.6	9	5	4	55	2.6	3626	40	http://content8.flixster.com/movie/27/91/279122_det.jpg
10	GoldenEye	0113189	GoldenEye	http://ia.media-imdb.com/images/M/MV5BNTE1OTExNjU1M15BMl5BanBnXkFtZTcwMTQzNjAwMQ@@._V1._SX214_CR0,0,214,314_.jpg	1995	goldeneye	6.8	41	33	8	80	6.2	11	7	4	63	3.4	28260	78	http://content9.flixster.com/movie/26/66/266699_det.jpg
11	The American President	0112346	El presidente y Miss Wade	http://ia.media-imdb.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1._SY314_CR5,0,214,314_.jpg	1995	american_president	7	49	44	5	89	7.2	18	16	2	88	3.2	8320	71	http://content7.flixster.com/movie/25/42/254205_det.jpg
12	Dracula: Dead and Loving It	0112896	Drácula, un muerto muy contento y feliz	http://ia.media-imdb.com/images/M/MV5BMTc3MjI0NjA0Nl5BMl5BanBnXkFtZTcwNDYwODUyMQ@@._V1._SY314_CR18,0,214,314_.jpg	1995	dracula_dead_and_loving_it	3	35	3	32	8	3.7	10	2	8	20	2.8	10078	52	http://content8.flixster.com/movie/10/89/17/10891774_det.jpg
13	Balto	0112453	Balto. La leyenda del perro esquimal	http://ia.media-imdb.com/images/M/MV5BMTU4NTE3NDU1MF5BMl5BanBnXkFtZTYwMjg5Mjk5._V1._SY216_CR37,0,214,216_.jpg	1995	balto	5.8	12	6	6	50	0	4	1	3	25	3.2	9195	66	http://content7.flixster.com/movie/25/16/251605_det.jpg
14	Nixon	0113987	Nixon	http://ia.media-imdb.com/images/M/MV5BMTQ4ODUxNTU2OV5BMl5BanBnXkFtZTcwOTIwODMyMQ@@._V1._SY314_CR3,0,214,314_.jpg	1995	nixon	6.7	56	42	14	75	6.1	18	12	6	66	3.5	3256	72	http://content6.flixster.com/movie/28/30/283016_det.jpg
15	Cutthroat Island	0112760	La isla de las Cabezas Cortadas	http://ia.media-imdb.com/images/M/MV5BNjI5MjI5Njk3Ml5BMl5BanBnXkFtZTcwNTQwMTYyMQ@@._V1._SY216_CR39,0,214,216_.jpg	1995	cutthroat_island	4.4	31	14	17	45	4.7	6	3	3	50	2.6	3350	42	http://content6.flixster.com/movie/25/69/256908_det.jpg
16	Casino	0112641	Casino, de Scorsese	http://ia.media-imdb.com/images/M/MV5BMTQ0NDk5NDc5OF5BMl5BanBnXkFtZTYwMDYyNDA5._V1._SX214_CR0,0,214,314_.jpg	1995	1067987-casino	7.2	58	47	11	81	6.3	16	11	5	68	3.9	66463	91	http://content8.flixster.com/movie/10/87/61/10876102_det.jpg
17	Sense and Sensibility	0114388	Sentido y sensibilidad	http://ia.media-imdb.com/images/M/MV5BMTQzNjk2OTk3Nl5BMl5BanBnXkFtZTcwNzczNjYyMQ@@._V1._SY314_CR7,0,214,314_.jpg	1995	1068832-sense_and_sensibility	7.9	49	48	1	97	8.1	14	13	1	92	3.8	32782	88	http://content6.flixster.com/movie/11/12/50/11125040_det.jpg
18	Four Rooms	0113101	Four Rooms	http://ia.media-imdb.com/images/M/MV5BMTcwOTMzODQ5MV5BMl5BanBnXkFtZTcwNjgyMjAwMQ@@._V1._SX214_CR0,0,214,314_.jpg	1995	four_rooms	3.5	42	6	36	14	2.9	11	0	11	0	3.5	14266	72	http://content7.flixster.com/movie/93/49/77/9349773_det.jpg
19	Ace Ventura: When Nature Calls	0112281	Ace Ventura, operación África	http://ia.media-imdb.com/images/M/MV5BMjA0NTc4OTk1Ml5BMl5BanBnXkFtZTcwNjA0NTQzMQ@@._V1._SY314_CR17,0,214,314_.jpg	1995	ace_ventura_when_nature_calls	4.1	25	9	16	36	0	3	1	2	33	3.2	87306	73	http://content7.flixster.com/movie/10/94/18/10941853_det.jpg
20	Money Train	0113845	Asalto al tren del dinero	http://ia.media-imdb.com/images/M/MV5BNDEwNzcyNjkzNl5BMl5BanBnXkFtZTcwNzQyMzYxMQ@@._V1._SY314_CR4,0,214,314_.jpg	1995	money_train	4	24	4	20	16	4.5	5	1	4	20	2.7	5263	38	http://content9.flixster.com/movie/11/12/51/11125103_det.jpg
21	Get Shorty	0113161	Cómo conquistar Hollywood	http://ia.media-imdb.com/images/M/MV5BMTIzMzk3NDgwNV5BMl5BanBnXkFtZTcwMDEzNDcyMQ@@._V1._SY314_CR17,0,214,314_.jpg	1995	get_shorty	7.7	49	42	7	85	8.4	14	14	0	100	3.2	10155	63	http://content7.flixster.com/movie/98/65/89/9865893_det.jpg
22	Copycat	0112722	Copycat: copia mortal	http://ia.media-imdb.com/images/M/MV5BMTI5NTU4MDk0MF5BMl5BanBnXkFtZTcwNDIwMTYyMQ@@._V1._SY216_CR35,0,214,216_.jpg	1995	1065837-copycat	6.6	32	24	8	75	7.4	5	4	1	80	3.1	5628	58	http://content9.flixster.com/movie/27/27/272723_det.jpg
23	Ninja Assassin	1186367	Ninja Assassin	http://ia.media-imdb.com/images/M/MV5BMTcxNDYzMjU1Ml5BMl5BanBnXkFtZTcwMTYzOTM3Mg@@._V1._SX214_CR0,0,214,314_.jpg	2009	1198524-ninja_assassin	4.3	106	27	79	25	4.6	20	6	14	30	3.4	107023	58	http://content6.flixster.com/movie/10/89/12/10891232_det.jpg
24	Powder	0114168	Powder - pura energía	http://ia.media-imdb.com/images/M/MV5BMTIwMTQ3MjY2M15BMl5BanBnXkFtZTcwMTQ0NDUyMQ@@._V1._SX99_SY140_.jpg	1995	powder	5.2	19	9	10	47	4.9	5	0	5	0	3.1	6650	67	http://content7.flixster.com/movie/25/59/255901_det.jpg
25	Leaving Las Vegas	0113627	Leaving Las Vegas	http://ia.media-imdb.com/images/M/MV5BMTIzOTEzMzQwNF5BMl5BanBnXkFtZTcwNjE0MTYyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1995	leaving_las_vegas	7.7	45	40	5	88	8.1	11	11	0	100	3.6	12742	82	http://content7.flixster.com/movie/10/90/25/10902561_det.jpg
26	Othello	0114057	Otelo	http://ia.media-imdb.com/images/M/MV5BMTIxMzA2ODk2NV5BMl5BanBnXkFtZTcwMzQ4ODIyMQ@@._V1._SY314_CR5,0,214,314_.jpg	1995	1069707-othello	6.3	38	26	12	68	6.1	11	7	4	63	3.3	2018	66	http://content6.flixster.com/movie/10/92/98/10929892_det.jpg
27	Now and Then	0114011	Amigas para siempre	http://ia.media-imdb.com/images/M/MV5BMTY4MjMwNzA1NF5BMl5BanBnXkFtZTcwNzEwNTYyMQ@@._V1._SY314_CR4,0,214,314_.jpg	1995	now_and_then	4.7	16	3	13	18	5.2	5	1	4	20	3.5	17168	78	http://content6.flixster.com/movie/55/36/64/5536644_det.jpg
28	Persuasion	0114117	Persuasión	http://ia.media-imdb.com/images/M/MV5BNTQ2NDkxNzUwNF5BMl5BanBnXkFtZTcwMzE4NTcyMQ@@._V1._SY314_CR14,0,214,314_.jpg	1995	1066528-persuasion	7.7	23	19	4	82	8.5	9	9	0	100	3.9	7968	82	http://content6.flixster.com/movie/11/12/73/11127360_det.jpg
29	La cité des enfants perdus	0112682	La ciudad de los niños perdidos	http://ia.media-imdb.com/images/M/MV5BMTI4MDc0ODgyMV5BMl5BanBnXkFtZTcwNjAzMzAyMQ@@._V1._SY314_CR3,0,214,314_.jpg	1995	city_of_lost_children	7	33	27	6	81	7.2	7	5	2	71	4	22420	89	http://content6.flixster.com/movie/26/78/267824_det.jpg
30	Yao a yao yao dao waipo qiao	0115012	La joya de Shangai	http://ia.media-imdb.com/images/M/MV5BMTgyMzAwOTQyNF5BMl5BanBnXkFtZTcwNDU1MjgxMQ@@._V1._SY314_CR1,0,214,314_.jpg	1995	shanghai_triad	6.8	21	18	3	85	0	4	3	1	75	3.6	1061	70	http://content8.flixster.com/movie/10/90/31/10903162_det.jpg
31	Dangerous Minds	0112792	Mentes peligrosas	http://ia.media-imdb.com/images/M/MV5BMTI3NDIyMjIyM15BMl5BanBnXkFtZTYwMzA3NjU5._V1._SY314_CR1,0,214,314_.jpg	1995	dangerous_minds	4.7	37	11	26	29	5	12	5	7	41	3.1	12136	66	http://content7.flixster.com/movie/26/98/269813_det.jpg
32	Twelve Monkeys	0114746	Twelve monkeys: doce monos	http://ia.media-imdb.com/images/M/MV5BMTQwNzg2OTUzMV5BMl5BanBnXkFtZTYwMTg4ODU5._V1._SX214_CR0,0,214,314_.jpg	1995	prem-no-public-issue	0	0	0	0	0	0	0	0	0	0	0	0	0	http://content6.flixster.com/movie/10/93/02/10930244_det.jpg
33	Wings of Courage	0114952	Las alas del coraje	http://ia.media-imdb.com/images/M/MV5BMTc3ODY1MjA3OF5BMl5BanBnXkFtZTcwODgzOTgyMQ@@._V1._SX214_CR0,0,214,314_.jpg	1995		0	4	2	2	50	0	2	1	1	50	0	0	0	http://content7.flixster.com/movie/10/97/83/10978341_det.jpg
